"","sens_28_spec_89","sens_57_spec_80","sens_64_spec_76","sens_70_spec_70","sens_75_spec_66","sens_88_spec_63","sens_90_spec_58","sens_95_spec_19","sens_100_spec_3"
"167",47148.963998326,47492.9742526165,47567.3520589298,47588.1700407968,47607.4763970944,47757.0830745817,47831.1904062489,47958.9181921666,47997.539173819
"168",32123.8152846822,32233.1528149909,32281.3733675982,32321.3611872413,32379.4163394408,32464.444418524,32478.8787822347,32564.9988853667,32634.1084135636
"169",33778.6743087522,33915.4708200455,33934.000048608,33953.1667866931,33984.5453375313,34037.9703384359,34054.5913664347,34149.9119954386,34200.6407681328
"170",37526.3155344541,37637.3598150533,37687.1790104881,37731.6303447954,37758.3990524242,37804.894920098,37817.9824790618,37900.7417857441,37952.5116741166
"171",34456.327477623,34568.4724154467,34591.3554316937,34612.879361721,34711.978179477,34801.2783971499,34838.4943947403,34931.0452904267,34970.9732444758
"172",38644.3670851068,38771.2565201046,38814.5140082504,38858.1408974015,38910.3405905426,38934.8802929642,38947.6610706047,39044.8867479232,39084.6037053834
"173",45671.3298484934,45754.5599038998,45774.6529831872,45794.9647348855,45808.636343481,45854.8013011755,45867.3182787438,45953.651806208,46015.5054642853
"174",35313.8828335628,35577.8055528118,35687.2575198769,35793.7437001595,35830.1695862562,35950.2116347417,35994.4494805628,36097.8694362364,36154.9459487645
"175",26343.408175771,26486.3140376348,26575.950522139,26644.3888450052,26691.4147482029,26756.309463544,26787.4868268615,26866.2132096478,26917.7321230793
"176",33261.2279717131,33385.8280893189,33419.4960174165,33438.3115646367,33489.9962279331,33575.1560765521,33592.5558552928,33685.5861969534,33766.9225440405
"177",36856.8161126996,37044.7960350953,37170.724808771,37188.1157815961,37215.1208802354,37246.6366552241,37298.2197865833,37388.2994889992,37455.8588633672
"178",36697.03021106,36874.9209167849,36916.8833719122,36938.9066001482,36968.4057669642,37032.5815762143,37077.2084585829,37161.4352113034,37222.6153086591
"179",35044.583534879,35131.3372416581,35174.8874822332,35198.8222284871,35213.7180866154,35250.7910917315,35266.0515442336,35351.1396061221,35393.4459473318
"180",39844.1976407667,40009.5278633957,40062.7757479125,40084.6640494212,40121.6361592829,40172.5132027955,40186.9346972151,40271.7290116964,40308.927294955
"181",36057.8353298633,36209.8446251715,36250.4261208,36294.9679080893,36339.9087924296,36398.3638446283,36410.6177193083,36551.0491817901,36592.6456748654
"182",45515.3922637965,45752.9266163219,45907.2307537583,45925.2945408379,45976.7878014728,46081.9536253363,46094.230070969,46215.5698226789,46282.8629790852
"183",32398.9971164472,32576.732037561,32645.1715314631,32693.9418902545,32741.3721139309,32795.0198418571,32808.9332871088,32916.2653770673,32982.0084368712
"184",35692.0677357283,35818.260152603,35938.2716485898,35974.4296061378,36034.5893192877,36113.8879579442,36125.7842635235,36278.1818965796,36324.019714637
"185",37255.3232415874,37387.3423131382,37408.2926314157,37434.3779569908,37452.2125006939,37514.2294677997,37527.2660146387,37619.9465322281,37660.4379758812
"186",38305.1669008459,38389.9339671559,38405.3411524387,38456.1376113242,38468.7832497607,38574.47213269,38587.6381228785,38704.2404085644,38746.8390896423
"187",45099.9670398289,45255.4600323841,45275.5151567546,45296.6403166085,45322.2338260035,45353.1175089415,45402.6791376332,45488.1976987145,45555.3410108725
"188",37302.2433393515,37557.5162273004,37574.6499203399,37622.0902037754,37644.8494376855,37736.7324039229,37776.5120658783,37881.4813945426,37921.8568186147
"189",37572.4237302575,37713.2220945203,37758.8487514618,37806.3163284561,37831.8013334794,37897.8381612242,37931.9279213691,38030.8246845935,38141.8412835856
"190",39951.5456176242,40173.295005326,40278.2080873213,40325.0272087564,40359.16936547,40426.8156265733,40441.9353261175,40542.7571326915,40582.3842713696
"191",37008.2887313158,37114.9533072809,37162.9412070216,37178.7272673396,37207.4716472271,37267.9156192114,37304.5752779622,37386.8691242548,37438.8347845255
"192",28471.5581174694,28737.3670834924,28769.6242634829,28818.3431913574,28835.8853287521,28881.958939442,28922.1582323133,29021.2347302552,29077.621994759
"193",28572.6021336943,28669.7896890451,28697.6054128637,28731.0136628105,28764.8213568804,28790.58033576,28802.6688007774,28923.733722379,28984.1849949999
"194",33362.1287802692,33477.0260076699,33521.9943054574,33571.2983002792,33588.0454939602,33612.6415273847,33638.5023726829,33741.7518252026,33801.0265300445
"195",32685.3113525718,32955.2592410159,33007.0935945387,33039.1208850143,33072.3037994799,33160.5275026513,33220.475359239,33333.280628819,33420.0530067918
"196",32608.4193044436,32839.447187576,32867.6546628264,32905.8677797029,33002.089375934,33187.0279953792,33221.1655371244,33318.3946267421,33377.9542979163
"197",48019.4681463726,48199.9445333106,48221.9903037986,48279.2909553836,48339.3351347584,48426.5272726858,48468.450730705,48560.5895316787,48640.8866860468
"198",41566.3450978366,41835.1134479205,41904.036284342,41969.265978939,42050.4122265339,42163.4532638529,42182.2389290879,42279.0556402556,42349.1855150242
"199",32017.9825381189,32191.7854531648,32254.1856204647,32291.8129713259,32320.0517843625,32433.6982381001,32467.9289628391,32573.3916785638,32633.3804022336
"200",32182.1878400104,32284.7981868972,32320.3149234168,32349.4192168367,32365.2103894605,32433.9153297069,32447.197398068,32534.2882270064,32590.0150265481
"201",32322.0149128467,32485.5432682031,32515.0972022148,32536.7929187903,32588.1844325575,32666.995806799,32680.8874826428,32776.5457827781,32836.1114170283
"202",30946.0691776515,31125.9618159176,31143.9983642989,31205.5647364459,31244.6871909957,31317.230175101,31329.3453098132,31439.3281603526,31480.2134213238
"203",24591.7050822748,24690.5128974227,24722.2368626092,24747.5437554879,24795.6028193936,24866.5126801842,24884.0166276862,25018.2040520939,25056.2445683509
"204",18415.3286833562,18539.4498808306,18582.713193921,18605.104579441,18626.6407853789,18681.8083931393,18693.9282834859,18792.2006369448,18830.2977239942
"205",38501.3545467512,38764.5173471008,38816.9328188827,38861.7090167166,38878.1825719832,39017.8018236436,39029.0042745301,39145.4092006943,39217.5705958433
"206",39117.2602124432,39240.6081082271,39267.6605371603,39285.2357432941,39322.3686618414,39396.217859898,39432.2979112797,39520.2789163987,39581.324140749
"207",44277.6688839208,44406.8802881734,44441.9324339756,44475.4715711161,44504.9149863106,44569.9476001645,44582.774245576,44669.561725456,44711.6473982319
"208",44123.1996930495,44293.8023038225,44336.3101732665,44356.6074693164,44405.6978517988,44472.4398364332,44507.2363532443,44594.2228326618,44639.8076243456
"209",44462.8229675345,44574.4235478147,44605.2533677997,44633.9372298852,44649.865091658,44735.5615469335,44789.9789778446,44879.1322394073,44949.6990289461
"210",33085.7745662802,33251.811568601,33270.9389810932,33293.9910725134,33309.0493175032,33347.2504106129,33360.2839916022,33471.4522993162,33508.1610437934
"211",30383.3994030452,30511.9543814576,30550.5442726402,30591.3214110363,30625.7071739963,30686.066713285,30728.1078887879,30821.2476487684,30893.4970251203
"212",30452.5394712531,30566.1247977716,30598.0402741872,30629.0645363371,30684.1267804972,30723.5681283591,30739.8505638277,30829.1125223702,30875.2630675523
"213",35054.6598897516,35295.1038708115,35346.4836522847,35392.5237004443,35429.824656653,35472.5749932177,35486.7379712832,35572.9001976433,35642.0810733299
"214",40254.6849008828,40406.2889409875,40452.9300395229,40496.8256324233,40513.1167665386,40550.8803974824,40572.8554163826,40666.632813342,40729.0706699543
"215",35158.7706587587,35437.9684845661,35481.0907330583,35509.7988169876,35563.0506174083,35678.0237897621,35706.0763792492,35809.0850993907,35878.8063227052
"216",32558.6199823056,32686.4763491625,32734.3095373862,32785.4635079418,32820.1713640978,32882.6806812187,32899.88469546,32985.7226334576,33042.8446773417
"217",28182.1616411764,28372.1800655166,28425.8744899582,28478.2698080011,28522.1538777288,28690.3771857481,28704.0018494259,28810.8675499164,28896.7497418399
"218",39426.0559581263,39657.963600938,39726.0871623843,39752.2490931349,39826.1444801338,39902.0832738562,39936.6373522237,40031.8141094299,40067.5703776455
"219",35338.0691831897,35511.1000053734,35531.0036482554,35569.7435049813,35651.1000076227,35719.0562846936,35751.3011532439,35848.993097168,35944.1220063056
"220",53839.206267629,54037.9702116997,54152.0153497025,54234.7369060241,54275.6936254009,54357.2717330695,54424.1691950582,54597.6250920135,54706.1129497107
"221",35042.5991337088,35214.1544501376,35285.7498683223,35307.7146162223,35368.1222295776,35394.8064015677,35398.2033564463,35484.6088828879,35523.643927428
"222",31402.2825945253,31481.5690336179,31495.5743884284,31519.7146363876,31535.6505747549,31617.8827787136,31651.4343063457,31753.6164555379,31791.4788747507
"223",31266.2671939668,31420.5620971392,31450.733218181,31479.7930863846,31510.2490847938,31548.3110071659,31560.856262375,31660.0031950475,31741.3681938033
"224",32250.1530719098,32373.698880263,32405.7439226573,32446.6126097484,32486.3518183493,32561.2269040261,32574.0059405215,32670.8663214315,32712.5286400816
"225",25847.836327016,25974.3731543798,26038.0423659,26085.2108795989,26111.594887372,26205.3356948612,26226.0550713845,26327.283826662,26403.6634504096
"226",32787.5955963153,32985.6010901495,33003.3873878438,33057.9803898662,33083.6708346773,33152.0196238825,33163.954690636,33257.5879644134,33307.8983129573
"227",29295.3472602589,29461.2885503668,29479.8232622606,29501.0855234445,29519.3631126756,29572.330124501,29607.1865363757,29690.0810304013,29727.9961567337
"228",38463.8688497527,38616.1396532036,38686.9341176834,38745.1638531493,38815.1729482136,38892.3392490329,38905.0401449198,39025.4204690194,39065.8902690087
"229",30750.509177234,31011.5851806625,31097.9267184613,31135.4696062633,31161.0128441064,31202.3419486251,31215.6078056494,31319.955066921,31362.8403136536
"230",26966.1056795543,27100.474551779,27140.1291448617,27181.1162757833,27215.7642574298,27279.9613414169,27292.2948439779,27375.856886119,27431.8241850197
"231",30333.0820379758,30477.9771321098,30523.0348813522,30594.1956118768,30653.2457324608,30688.981329923,30710.5464545582,30813.9214121505,30856.9028249899
"232",30665.4225989141,30870.0178334846,30917.200370364,30960.1110885919,31004.2331224273,31103.1925497977,31120.9988926735,31213.4569270936,31317.0089546991
"233",42511.3395605427,42681.1233013888,42743.6104812197,42767.6525978233,42827.1411912659,42875.5934842606,42887.5638234642,42972.2627972078,43068.5733645369
"234",51473.9210701475,51644.4140628001,51667.8607578184,51688.2438167086,51707.6938618111,51735.3325081735,51749.6813759909,51837.7864132777,51875.6496185303
"235",35056.6730218306,35170.0398635519,35192.0444956979,35211.7492249587,35249.5727631718,35304.0915368298,35347.6910684865,35431.7939708459,35486.9798225524
"236",34908.506098555,35089.9843866865,35127.57610137,35188.527671669,35246.7259481955,35310.7852110454,35345.5766752936,35461.1637346262,35542.1698881251
"237",47808.185210331,47974.5054732923,48024.8818364342,48069.1066826482,48126.6782745182,48197.6053909428,48229.8471677982,48354.3696223971,48407.4259134759
"238",37658.5462928272,37815.6204849225,37899.8500356167,37945.5170045615,38010.5088666361,38105.590302196,38119.6676850097,38198.9784287661,38254.8672199161
"239",47768.7707818756,47930.0611348706,47949.2450788846,47985.1498596424,48002.2844787376,48045.1596981822,48058.9902828111,48146.3638625913,48187.1256570927
"240",35776.7030627984,36029.7615368846,36046.3289282645,36110.4658968913,36177.1281595201,36240.9707341992,36296.9913851896,36413.3662334663,36523.3425332214
"241",29354.552950991,29467.4302672256,29504.684900522,29539.3757023835,29584.043592853,29658.5768668483,29697.8495090166,29801.9137576562,29864.4426022092
"242",35519.545131718,35666.9416867734,35709.1016891969,35754.8887549409,35774.4667185409,35894.3318450917,35906.6741230988,35991.89769263,36038.3569474269
"243",40234.9479183876,40422.0416209717,40448.6365299412,40500.1708553305,40531.5379607074,40643.621734996,40687.4879867201,40775.8632922108,40821.8425451974
"244",39642.1343471918,39986.8437548636,40003.1928439649,40042.5804133489,40075.5618314852,40168.3327050414,40182.150434349,40300.0533676993,40396.4916530015
"245",31961.3836840756,32128.6309079415,32177.1555148214,32219.1272588931,32231.1960450811,32333.0585264574,32345.7353809792,32447.0606829336,32496.056609948
"246",38316.5264048387,38572.9124894561,38673.2504880321,38710.9254776505,38775.4049621503,38843.4010238671,38853.5959878825,38948.1340497582,39008.1203504095
"247",39879.4440371793,40110.8687537421,40151.0288712265,40169.898717011,40187.7500799779,40221.0282123432,40235.0038527915,40321.358561116,40369.8756695441
"248",36679.8620598129,36799.6451004258,36873.0929294235,36906.5143790891,36932.9583276677,36999.9440482472,37032.1622797763,37146.0157811251,37183.5748501676
"249",30872.57182399,30964.9056351586,31003.5655739029,31037.2463175838,31102.0366917503,31165.4327080073,31178.6635562163,31305.9536485221,31363.4801773176
"250",43603.5829594074,43736.3555458947,43760.5663977334,43847.2049708149,43883.7075340718,43908.8900011625,43922.1876825657,44019.6531080807,44065.6827949317
"251",37958.8693886915,38120.8160970196,38185.0755141552,38203.5964822972,38266.4157410842,38355.3344529496,38395.0695496833,38486.1465191385,38531.0432857679
"252",42162.8048297401,42247.04071876,42264.9373627128,42287.0607291406,42307.0120910172,42368.4940624062,42389.8251884592,42473.1973183227,42524.3032256073
"253",31107.6115980587,31294.8402865668,31322.5241782914,31352.6953806554,31368.2797236439,31445.1928190195,31518.7379599968,31604.5657352876,31674.3411510185
"254",37619.6777744691,37741.9848351247,37768.7845703084,37789.1280769107,37821.2248542012,37884.9754267007,37914.328377951,38004.9763265656,38042.0331397701
"255",33419.2431828322,33524.3536426162,33563.042894328,33583.7966522446,33599.5466005084,33629.1626962868,33644.2038397242,33742.9817785076,33793.9088461905
"256",23879.0530826347,24027.6120206531,24077.4804866923,24107.8850597368,24146.2448481162,24186.4823309742,24197.0050014721,24294.8112104115,24341.9759739897
"257",23012.2378173724,23113.790585448,23150.0253131579,23188.6236334513,23208.4774079274,23234.6922383988,23246.8211707212,23345.2864351199,23396.8179077864
"258",32848.1848628077,33030.3969047293,33049.604064049,33072.9311066227,33115.0819464183,33157.76501267,33170.3751157497,33270.7025312089,33315.7414482778
"259",36542.7452285908,36652.8532568926,36694.4160898034,36744.8614738359,36772.0801431062,36859.2844314207,36885.2082830426,37000.7711543064,37040.231565512
"260",26930.4985904624,27058.7885714638,27094.9198459736,27116.5883342846,27131.2201850394,27195.0860066305,27205.1625772471,27295.2934981051,27356.7958442338
"261",35804.4844849094,35980.1751725256,36008.2190093751,36063.3442666755,36094.7775726021,36193.5175150093,36216.7921784092,36301.205740585,36351.6162785257
"262",33062.3375883137,33173.2446336335,33193.8425564458,33213.8345284291,33288.3778731677,33325.0076371133,33340.6359020854,33468.1344353216,33517.7416505195
"263",31093.9960006281,31277.6196202634,31318.0626185593,31337.543147536,31369.9783137927,31458.7704619876,31471.4867813054,31549.1938359295,31590.7970648651
"264",40371.6400752644,40475.9523054313,40508.0859653987,40547.936132215,40601.2195634958,40651.7415157139,40663.9164442201,40751.7950536785,40789.2569860312
"265",40377.5313640213,40571.9913455787,40615.0777597454,40662.5586490031,40703.2174639935,40783.1815806156,40805.65191792,40949.788501221,40987.9161558691
"266",32154.3314256002,32273.7130118932,32291.1618172579,32310.0425599615,32324.6578886391,32369.0350451998,32383.7979852212,32483.5967427612,32543.4119071862
"267",26274.6802019975,26341.0775906524,26360.2554111118,26387.6665871933,26414.0446193607,26530.2817339963,26558.516552874,26683.909361494,26728.7608064301
"268",38796.8040183483,38970.1319460131,39013.3747565539,39037.3940279299,39058.8767236601,39095.5125182992,39108.3034974497,39220.2989760698,39271.3444943905
"269",31825.2761390755,32035.6838904838,32069.9406522962,32129.9790798463,32154.1632819238,32188.1091507969,32208.1990831246,32291.0220088269,32345.0114777975
"270",50386.557591405,50481.6811267638,50501.0451940936,50532.5034563684,50552.944818593,50595.2283301688,50608.5035956191,50718.5531135932,50779.4442832519
"271",32764.3308578347,32920.6355715626,32968.8530835039,32990.7864531348,33024.2094342137,33132.5143476239,33160.7847005457,33250.1686226029,33288.9207864989
"272",27507.4902670674,27713.779013611,27735.9369382766,27791.1110491224,27804.7782664669,27898.0757270812,27928.0996887012,28051.2686959438,28102.5339175242
"273",22659.0000724637,22808.7019757372,22886.5570537713,22926.1310044173,22941.4163429103,23018.2340481324,23057.8737734809,23142.9652560827,23187.2929199177
"274",39210.0878879967,39400.4419676715,39433.5842654882,39460.4390261706,39491.8358532752,39563.276046747,39584.8703289701,39668.9280671712,39724.5769724163
"275",45226.6177435588,45375.0330682896,45396.7936848589,45427.5314435303,45441.0066380419,45472.3597941016,45491.1260442188,45573.9028102455,45633.2280327248
"276",28077.5826862859,28173.8413177655,28209.8070586219,28271.0111584264,28287.3788901447,28328.2753932383,28342.9924137462,28425.731235377,28503.696639352
"277",38692.1137636093,38824.4677127447,38866.9984922248,38905.8630677647,38942.0879291744,39017.0684164232,39031.7990444623,39130.0315787044,39165.1428007667
"278",39298.5495414475,39365.8158684056,39384.6623475041,39407.5388902847,39421.8990604298,39454.7235395803,39470.0292530103,39553.2517057219,39593.1571798394
"279",45489.7773434006,45617.2132722742,45635.8873546215,45665.9701295858,45683.306682193,45766.3238201918,45785.6702130089,45902.1944701813,45940.819248024
"280",43048.7985204082,43142.8849621173,43191.1708904854,43213.2936064063,43264.5981442913,43314.8788225898,43327.8155371143,43426.0444823634,43467.1595512395
"281",43381.9319424651,43593.9995798453,43625.851662524,43647.5677306738,43679.9346436092,43790.3312890412,43802.6144766562,43883.7819182822,43937.1146059863
"282",34425.9899448369,34650.4074298221,34742.3348420944,34788.3703651699,34819.4622800146,34929.8286333514,34985.3162486997,35073.4435885137,35139.5205088201
"283",32227.3818715611,32394.2650328425,32434.2776047432,32459.9789451136,32481.6291687971,32526.4283150039,32540.7782519497,32670.6682173147,32743.9872433136
"284",31941.9129205013,32050.7176926918,32093.6170556392,32133.0520445096,32176.2462334,32258.6780388022,32271.898324139,32389.9905529093,32492.142673365
"285",39972.0584677943,40103.6713346718,40211.6959746001,40235.7483549711,40263.3097603612,40376.1719999668,40398.544772205,40485.9282289144,40525.0384505678
"286",29683.6969431374,29864.3746246208,29901.8175609648,29947.0126408599,29995.0588216211,30050.6588189348,30063.2202702634,30145.4533429278,30188.0521566707
"287",25939.0640836319,26087.1713656431,26128.9958633069,26167.7965696859,26197.4248778066,26255.4168541745,26293.3487610746,26399.6306763248,26447.2937118118
"288",31334.4747636262,31490.4576415783,31535.1898681961,31573.2410023193,31590.3648418731,31612.7013025629,31626.0525789524,31723.8789663052,31792.0026323484
"289",31360.3376713233,31461.8406099915,31503.5537226244,31529.2701088703,31552.5171752396,31590.3353656906,31606.3414505578,31719.507143167,31780.5826673403
"290",32411.1111940276,32578.7411343585,32614.7886219611,32654.6278204723,32669.0271830294,32721.6348674788,32747.5744551103,32843.6709555997,32914.412086675
"291",35187.1146672655,35314.1526664454,35360.1815876391,35383.0011608081,35419.7870834728,35513.1625597236,35525.4979238179,35612.1801074193,35648.0607886984
"292",43280.157018072,43423.6889795266,43476.8858907878,43505.0705777542,43536.2957520626,43585.7056660601,43616.9873705313,43714.0342491847,43785.7858124646
"293",18107.9887273816,18261.8491386817,18304.3878426238,18344.8055392895,18407.6348659494,18457.7737225188,18478.0625742433,18561.720344848,18617.9231567702
"294",40850.2735623392,41021.7719405837,41074.652185844,41109.8046396848,41126.127802958,41161.860049283,41175.166786209,41312.4762492691,41373.702572711
"295",39947.9677349274,40102.4260116399,40145.4677914615,40199.8713956583,40216.1604461753,40260.5183131856,40296.2079273727,40390.0598454425,40442.7886076549
"296",45100.4282948796,45306.559093701,45400.2408470804,45434.8079376623,45470.1204225493,45561.9567546568,45585.0361690726,45695.4402838166,45751.5565648301
"297",33071.0640097799,33158.0197332299,33217.4352135532,33235.1017323812,33257.588925192,33284.3297967207,33306.6673914196,33400.1164908084,33456.7712570448
"298",37827.759316517,37947.010063901,37974.3424936237,37993.817677617,38010.0159650403,38074.0428291732,38090.3083548843,38178.0579839975,38239.2879067087
"299",37448.4569647346,37559.5041975036,37583.2174594989,37622.7397130871,37662.7976808083,37766.6383876307,37793.1990682357,37896.1724242307,37942.8214086478
"300",29399.1764218706,29508.6918111137,29530.3584713071,29553.2720336011,29568.210836071,29654.0264322506,29665.0299347205,29753.8218480579,29807.4412378771
"301",37081.7067788999,37249.3172743554,37294.4311320941,37342.838441969,37374.4101878439,37497.9271696521,37510.573945637,37632.5604814194,37688.6577571388
"302",37077.6597169651,37229.5117833299,37279.5625915354,37320.4838851147,37340.8601489452,37405.1699748979,37427.4370797716,37549.0672005,37611.3144062965
"303",30138.0875232941,30283.031885503,30321.210750178,30340.3168049394,30365.2970752633,30417.695214791,30431.7689487734,30533.4899757963,30582.9463263615
"304",34247.350302383,34455.4027080793,34502.1802416386,34536.9021418883,34569.9568932278,34671.5697176276,34703.1455949682,34821.2814458544,34860.6759765933
"305",23761.3470497357,23932.1492713831,24019.3085167589,24064.1442279221,24086.1517302045,24143.5932983748,24156.7467297555,24269.471451443,24338.9306786911
"306",26803.6554649993,26967.251143067,26992.4220504556,27023.775166272,27041.0380225819,27092.6799346157,27108.8099998794,27190.8973377391,27232.1813677268
"307",24676.8971446594,24871.1503174332,24965.3302538633,25015.569240457,25059.1650854692,25137.6873805374,25181.1169783933,25290.6921776819,25329.5381490321
"308",39406.7239295003,39667.58006126,39686.0791535791,39738.4201156832,39818.6329989431,39879.0050180518,39891.4070701472,39983.3221432478,40023.873827886
"309",28585.2178262587,28778.2208698354,28845.2474505629,28885.7261244865,28917.7772271229,29013.8552748808,29029.0945948236,29132.1872722318,29173.2201053743
"310",40183.9609402593,40291.1526845341,40347.1515935293,40401.3787331644,40421.7758289647,40498.9691745193,40541.5334750582,40624.4048235761,40693.2733171852
"311",41554.4255759249,41621.8919182419,41672.7142397061,41695.9578574978,41713.5688940385,41764.5513226924,41782.9578223775,41877.9639464255,41942.1132587619
"312",38410.9168020163,38589.924129791,38623.4001156401,38653.0155681244,38686.6516735025,38870.9312148116,38883.5815165755,38997.7428750701,39074.3689290828
"313",32169.0995823568,32397.8423139289,32430.6009367038,32465.8312534628,32501.9376269089,32608.7985739206,32639.3546700199,32750.8187833016,32809.0583766512
"314",35825.3908365215,36037.7682514708,36072.0398447714,36127.1547871052,36172.0567553061,36257.9982556748,36291.9490189047,36381.4212181479,36421.1768330367
"315",40700.0796825216,40797.3762552557,40827.1128046554,40880.1943989331,40910.7489495666,40963.844079075,40979.9808498088,41090.5562801659,41125.0352128947
"316",36387.8529599013,36491.1186052654,36532.5092175677,36580.4645880137,36595.9748698015,36627.7166036337,36640.3198248256,36744.6408487303,36801.837527625
"317",45002.1798454916,45135.9650415038,45161.1251218606,45216.9528217563,45232.9218394054,45276.0120115025,45315.4450041367,45408.1328660152,45494.777717989
"318",30897.905700341,31126.7197204454,31175.3850636703,31204.128627234,31243.8966974865,31291.8900080754,31303.9926853773,31403.6743243059,31492.8317239782
"319",48583.4165759948,48778.9333385473,48825.4652695894,48879.968410858,48899.4952482911,49003.0091124206,49018.4074373897,49138.5361198372,49228.0884124165
"320",37769.786643876,37861.9562863514,37889.3683284678,37929.4936365015,37949.4943740006,38005.817961348,38021.6360000572,38131.7431254301,38172.3493798636
"321",34082.1201145415,34224.9731702478,34267.0097984663,34292.1012582257,34317.7321648275,34362.3986462313,34375.6068132131,34481.6491882452,34528.9943295769
"322",37872.9209911384,38059.0921231429,38108.3719077218,38141.4752571931,38201.927743244,38247.9696175051,38273.9690811931,38362.793278643,38398.895140337
"323",24953.6346929858,25142.4843457362,25159.0959649061,25183.8330737067,25199.3965786704,25236.4515987843,25254.9936464213,25340.4948206191,25396.4264379035
"324",54145.8703193942,54388.2297283856,54423.9928342309,54499.6284875076,54529.2456938839,54577.4895513887,54595.3079319971,54714.1164685553,54841.385378722
"325",27366.3854575118,27490.1000282956,27554.7194434718,27609.0122118052,27663.8032758973,27746.1437498041,27762.5085339356,27865.1611255183,27940.2029422755
"326",33614.6098141777,33804.1633634367,33832.6861008765,33899.9892437147,33950.9749772507,34053.3588973723,34084.1356821105,34171.0621291927,34211.1707287194
"327",34652.8784996438,34771.9776235261,34824.3777075336,34851.8155333777,34892.6490457255,34973.6242852115,34994.2775136078,35105.8809507683,35144.9409489519
"328",36099.5708643505,36177.1744709558,36210.8880789142,36232.2954653843,36293.7359751672,36357.420857829,36404.571169538,36488.9425595642,36550.7069250663
"329",23900.3863307976,24000.8612558351,24031.3619972371,24072.6206580568,24095.1398034881,24120.6265563,24133.85355091,24221.0672298916,24258.3490332638
"330",39760.258793016,39949.3529453951,39969.1807565275,39988.7086128274,40007.7934605148,40059.5270802068,40096.767388299,40177.4989185382,40244.730680721
"331",35686.250683473,35969.0723930479,35986.5013141964,36049.7290587599,36068.0407737654,36206.6352080475,36239.4686527226,36331.037733893,36413.7412770356
"332",38669.4909118732,38777.6568167707,38818.8600636974,38864.0958683956,38881.2975889502,38932.3381851912,38945.9530316325,39042.9402677114,39103.4511951963
"333",47403.7255071223,47497.3511304453,47531.1358606841,47551.9777838705,47569.2132266905,47639.5341016512,47655.9128244765,47734.7089038178,47775.8542688566
